sample2,X2Yearsample2,Hostsample2,Yearsample2,YearMAP1samp2,YearMAP2samp2,Hostsamp2,Codesamp2,Locationsamp2,Regionsamp2,MAPsamp2,Latitudesamp2,Longitudesamp2,Ecoregionsamp2,Sitesamp2,MAP.station.climsamp2,MAP1.climsamp2,MAP2.climsamp2,RegionMAPsamp2,Region_MAP2samp2,Region_MAP_Intervalsamp2,Region_MAP_Interval2samp2,Region_MAP_Interval3samp2,Categorical_MAPsamp2
KWDY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.5596349,Prairie-Forest Border,KWDCornY_2018,Kellogg,821,832,821,837.9,840.4,840.4,840.4,High MAP
MPTRS1Y_2019,No,No,Y_2019,NA,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border,MPSCSCY_2019,Lacrosse,876.5,875.7,876.5,876.5,876.5,840.4,840.4,High MAP
MPTRS2Y_2019,No,No,Y_2019,NA,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border,MPSCSCY_2019,Lacrosse,876.5,875.7,876.5,876.5,876.5,840.4,840.4,High MAP
MPTRS3Y_2019,No,No,Y_2019,NA,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border,MPSCSCY_2019,Lacrosse,876.5,875.7,876.5,876.5,876.5,840.4,840.4,High MAP
MPTRS4Y_2019,No,No,Y_2019,NA,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border,MPSCSCY_2019,Lacrosse,876.5,875.7,876.5,876.5,876.5,840.4,840.4,High MAP
MPTRS5Y_2019,No,No,Y_2019,NA,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border,MPSCSCY_2019,Lacrosse,876.5,875.7,876.5,876.5,876.5,840.4,840.4,High MAP
MPTRS6Y_2019,No,No,Y_2019,NA,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border,MPSCSCY_2019,Lacrosse,876.5,875.7,876.5,876.5,876.5,840.4,840.4,High MAP
PCTRS1Y_2018,Yes,Yes,Y_2018,36.6,931.5,SCSC,PC,Prairie Coteau,West,686,44.7463,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS1Y_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS2Y_2018,Yes,Yes,Y_2018,36.6,931.5,SCSC,PC,Prairie Coteau,West,686,44.7464,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS2Y_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS3Y_2018,Yes,Yes,Y_2018,36.6,931.5,SCSC,PC,Prairie Coteau,West,686,44.7465,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS3Y_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS4Y_2018,Yes,Yes,Y_2018,36.6,931.5,SCSC,PC,Prairie Coteau,West,686,44.74659,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS4Y_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS5Y_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCTRS6Y_2019,Yes,No,Y_2019,41.43,1052.2,SCSC,PC,Prairie Coteau,West,686,44.746,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
PCY_2018,Yes,Yes,Y_2018,36.6,931.5,Corn,PC,Prairie Coteau,West,686,44.74682,-96.9263,Northern Tallgrass Prairie,PCCornY_2018,Pipestone,636.7,651.2,636.7,636.7,679.2,679.2,679.2,Low MAP
RRTRS1Y_2019,No,No,Y_2019,NA,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie,RRSCSCY_2019,Windom,679.2,721.6,679.2,679.2,679.2,679.2,679.2,Mid MAP
RRTRS2Y_2019,No,No,Y_2019,NA,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie,RRSCSCY_2019,Windom,679.2,721.6,679.2,679.2,679.2,679.2,679.2,Mid MAP
RRTRS3Y_2019,No,No,Y_2019,NA,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie,RRSCSCY_2019,Windom,679.2,721.6,679.2,679.2,679.2,679.2,679.2,Mid MAP
RRTRS4Y_2019,No,No,Y_2019,NA,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie,RRSCSCY_2019,Windom,679.2,721.6,679.2,679.2,679.2,679.2,679.2,Mid MAP
RRTRS5Y_2019,No,No,Y_2019,NA,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie,RRSCSCY_2019,Windom,679.2,721.6,679.2,679.2,679.2,679.2,679.2,Mid MAP
RRTRS6Y_2019,No,No,Y_2019,NA,1075,SCSC,RR,Red Rock Prairie,Central,726,44.5151,-95.10196,Northern Tallgrass Prairie,RRSCSCY_2019,Windom,679.2,721.6,679.2,679.2,679.2,679.2,679.2,Mid MAP
SPTRS1Y_2018,Yes,Yes,Y_2018,31.85,767.4,SCSC,SP,Sioux Prairie,West,564,44.0322149,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS1Y_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS2Y_2018,Yes,Yes,Y_2018,31.85,767.4,SCSC,SP,Sioux Prairie,West,564,44.0322139,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS2Y_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS3Y_2018,Yes,Yes,Y_2018,31.85,767.4,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.7805445,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS3Y_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS4Y_2018,Yes,Yes,Y_2018,31.85,767.4,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.7805463,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS4Y_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS5Y_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPTRS6Y_2019,Yes,No,Y_2019,38.47,1132.5,SCSC,SP,Sioux Prairie,West,564,44.032214,-96.78054,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
SPY_2018,Yes,Yes,Y_2018,31.85,767.4,Corn,SP,Sioux Prairie,West,564,44.032214,-96.7805454,Northern Tallgrass Prairie,SPCornY_2018,Madison,612.6,617.3,612.6,612.6,612.6,612.6,612.6,Low MAP
