Sample,Transect,Transectsample1,Sitesample1,2Yearsample1,SCCSCornsample1,Yearsample1,YearMAP1sample1,YearMAP2sample1,Hostsample1,Codesample1,Locationsample1,Regionsample1,Rainfallsample1,Latitudesample1,Longitudesample1,Ecoregionsample1
HPC1475,TRS3Y_2019,MPTRS3Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1476,TRS4Y_2019,MPTRS4Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1477,TRS4Y_2019,MPTRS4Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1478,TRS4Y_2019,MPTRS4Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1479,TRS4Y_2019,MPTRS4Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1480,TRS4Y_2019,MPTRS4Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1483,TRS5Y_2019,MPTRS5Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1486,TRS6Y_2019,MPTRS6Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1487,TRS6Y_2019,MPTRS6Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1490,TRS6Y_2019,MPTRS6Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1483KNZ,TRS5Y_2019,MPTRS5Y_2019,MPSCSCY_2019,No,No,Y_2019,,1135.8,SCSC,MP,Mound Prairie SNA,East,939,43.45996,-91.25462,Prairie-Forest Border
HPC1105,TRS1Y_2018,KWDTRS1Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548645,-91.55963,Prairie-Forest Border
HPC1108,TRS2Y_2018,KWDTRS2Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548665,-91.55963,Prairie-Forest Border
HPC1109,TRS2Y_2018,KWDTRS2Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.154865,-91.55963,Prairie-Forest Border
HPC1110,TRS2Y_2018,KWDTRS2Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548673,-91.55963,Prairie-Forest Border
HPC1111,TRS3Y_2018,KWDTRS3Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548679,-91.55963,Prairie-Forest Border
HPC1112,TRS3Y_2018,KWDTRS3Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548656,-91.55963,Prairie-Forest Border
HPC1113,TRS3Y_2018,KWDTRS3Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1114,TRS3Y_2018,KWDTRS3Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548632,-91.55963,Prairie-Forest Border
HPC1115,TRS3Y_2018,KWDTRS3Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548642,-91.55963,Prairie-Forest Border
HPC1116,TRS4Y_2018,KWDTRS4Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548645,-91.55963,Prairie-Forest Border
HPC1117,TRS4Y_2018,KWDTRS4Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548653,-91.55963,Prairie-Forest Border
HPC1118,TRS4Y_2018,KWDTRS4Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548642,-91.55963,Prairie-Forest Border
HPC1119,TRS4Y_2018,KWDTRS4Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.1548624,-91.55963,Prairie-Forest Border
HPC1120,TRS4Y_2018,KWDTRS4Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.95,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.5596359,Prairie-Forest Border
HPC1142,Y_2018,KWDY_2018,KWDCornY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.5596349,Prairie-Forest Border
HPC1144,Y_2018,KWDY_2018,KWDCornY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1145,Y_2018,KWDY_2018,KWDCornY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1147,Y_2018,KWDY_2018,KWDCornY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1148,Y_2018,KWDY_2018,KWDCornY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1149,Y_2018,KWDY_2018,KWDCornY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1153,Y_2018,KWDY_2018,KWDCornY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1154,Y_2018,KWDY_2018,KWDCornY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1155,Y_2018,KWDY_2018,KWDCornY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1158,Y_2018,KWDY_2018,KWDCornY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1159,Y_2018,KWDY_2018,KWDCornY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1160,Y_2018,KWDY_2018,KWDCornY_2018,Yes,Yes,Y_2018,40.95,1074.1,Corn,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1552,TRS1Y_2019,KWDTRS1Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1553,TRS1Y_2019,KWDTRS1Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1555,TRS1Y_2019,KWDTRS1Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1556,TRS2Y_2019,KWDTRS2Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1560,TRS2Y_2019,KWDTRS2Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1561,TRS3Y_2019,KWDTRS3Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1563,TRS3Y_2019,KWDTRS3Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1564,TRS3Y_2019,KWDTRS3Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1565,TRS3Y_2019,KWDTRS3Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1567,TRS4Y_2019,KWDTRS4Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1568,TRS4Y_2019,KWDTRS4Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1569,TRS4Y_2019,KWDTRS4Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1570,TRS4Y_2019,KWDTRS4Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1571,TRS5Y_2019,KWDTRS5Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1572,TRS5Y_2019,KWDTRS5Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1573,TRS5Y_2019,KWDTRS5Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1574,TRS5Y_2019,KWDTRS5Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1576,TRS6Y_2019,KWDTRS6Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1577,TRS6Y_2019,KWDTRS6Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1578,TRS6Y_2019,KWDTRS6Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1579,TRS6Y_2019,KWDTRS6Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1580,TRS6Y_2019,KWDTRS6Y_2019,KWDSCSCY_2019,Yes,No,Y_2019,46.8,1213.8,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1108KNZ,TRS2Y_2018,KWDTRS2Y_2018,KWDSCSCY_2018,Yes,Yes,Y_2018,40.3,1074.1,SCSC,KWD,Kellogg Weaver Dunes,East,892,44.15486,-91.55963,Prairie-Forest Border
HPC1181,TRS1Y_2018,HSCY_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.424283e,-92.49619,Prairie-Forest Border
HPC1183,TRS1Y_2018,HSCTRS1Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242847,-92.496194,Prairie-Forest Border
HPC1185,TRS1Y_2018,HSCTRS1Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242859,-92.49619,Prairie-Forest Border
HPC1186,TRS2Y_2018,HSCTRS2Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242809,-92.496195,Prairie-Forest Border
HPC1187,TRS2Y_2018,HSCTRS2Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242838,-92.49619,Prairie-Forest Border
HPC1188,TRS2Y_2018,HSCTRS2Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242843,-92.496196,Prairie-Forest Border
HPC1189,TRS2Y_2018,HSCTRS2Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242825,-92.4961936,Prairie-Forest Border
HPC1190,TRS2Y_2018,HSCTRS2Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242836,-92.49619,Prairie-Forest Border
HPC1191,TRS3Y_2018,HSCTRS3Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242847,-92.49619,Prairie-Forest Border
HPC1192,TRS3Y_2018,HSCTRS3Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.424287,-92.49619,Prairie-Forest Border
HPC1193,TRS3Y_2018,HSCTRS3Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242845,-92.49619,Prairie-Forest Border
HPC1194,TRS3Y_2018,HSCTRS3Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242838,-92.49619,Prairie-Forest Border
HPC1196,TRS4Y_2018,HSCTRS4Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242829,-92.4961958,Prairie-Forest Border
HPC1197,TRS4Y_2018,HSCTRS4Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242838,-92.4961922,Prairie-Forest Border
HPC1198,TRS4Y_2018,HSCTRS4Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242843,-92.4961925,Prairie-Forest Border
HPC1199,TRS4Y_2018,HSCTRS4Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.4242825,-92.4961948,Prairie-Forest Border
HPC1200,TRS4Y_2018,HSCTRS4Y_2018,HSCSCSCY_2018,Yes,Yes,Y_2018,33.52,851.9,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.4961947,Prairie-Forest Border
HPC1232,Y_2018,HSCY_2018,HSCCornY_2018,Yes,Yes,Y_2018,33.52,851.9,Corn,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1642,TRS1Y_2019,HSCTRS1Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1643,TRS1Y_2019,HSCTRS1Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1645,TRS1Y_2019,HSCTRS1Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1648,TRS2Y_2019,HSCTRS2Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1649,TRS2Y_2019,HSCTRS2Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1650,TRS2Y_2019,HSCTRS2Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1651,TRS3Y_2019,HSCTRS3Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1652,TRS3Y_2019,HSCTRS3Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1654,TRS3Y_2019,HSCTRS3Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1655,TRS3Y_2019,HSCTRS3Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1661,TRS5Y_2019,HSCTRS5Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1662,TRS5Y_2019,HSCTRS5Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1663,TRS5Y_2019,HSCTRS5Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1664,TRS5Y_2019,HSCTRS5Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1665,TRS5Y_2019,HSCTRS5Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1667,TRS6Y_2019,HSCTRS6Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1668,TRS6Y_2019,HSCTRS6Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1669,TRS6Y_2019,HSCTRS6Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,40.3,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1662KNZ,TRS5Y_2019,HSCTRS5Y_2019,HSCSCSCY_2019,Yes,No,Y_2019,,1109.5,SCSC,HSC,Hasting Sand Coulee ,East,850,44.42428,-92.49619,Prairie-Forest Border
HPC1671,1-1Y_2020,KNZKNZ1-1Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1672,1-1Y_2020,KNZKNZ1-1Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1673,1-1Y_2020,KNZKNZ1-1Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1674,1-1Y_2020,KNZKNZ1-1Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1675,1-1Y_2020,KNZKNZ1-1Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1676,1-2Y_2020,KNZKNZ1-2Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1677,1-2Y_2020,KNZKNZ1-2Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1678,1-2Y_2020,KNZKNZ1-2Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1679,1-2Y_2020,KNZKNZ1-2Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1680,1-2Y_2020,KNZKNZ1-2Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1681,1-3Y_2020,KNZKNZ1-3Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1682,1-3Y_2020,KNZKNZ1-3Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1683,1-3Y_2020,KNZKNZ1-3Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1684,1-3Y_2020,KNZKNZ1-3Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1685,1-3Y_2020,KNZKNZ1-3Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1686,1-4Y_2020,KNZKNZ1-4Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1687,1-4Y_2020,KNZKNZ1-4Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1688,1-4Y_2020,KNZKNZ1-4Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1689,1-4Y_2020,KNZKNZ1-4Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
HPC1690,1-4Y_2020,KNZKNZ1-4Y_2020,KNZSCSCY_2020,No,No,Y_2020,828,828,SCSC,KNZ,Konza Prairie,West,835,39.076272,-96.592229,Northern Tallgrass Prairie
